Humidity,Rain
31.004,0
31.027,0
33.815,0
34.072,0
34.329,0
35.046,0
35.381,0
35.614,0
36.275,0
36.460,0
36.488,0
36.776,0
37.228,0
38.060,0
38.427,0
39.781,0
40.216,0
40.799,0
40.841,0
41.096,0
41.474,0
42.465,0
43.360,0
43.384,0
45.147,0
45.566,0
46.490,0
47.322,0
48.057,0
48.154,0
48.217,0
48.285,0
49.849,0
49.929,0
50.030,0
51.051,0
51.294,0
51.848,0
51.939,0
52.052,0
52.603,0
53.143,0
53.691,0
54.202,0
54.725,0
54.938,0
55.612,0
55.708,0
57.285,0
58.036,0
58.423,0
58.667,0
58.764,0
59.478,0
59.715,0
61.325,0
61.380,0
61.479,0
61.807,0
61.843,0
61.881,0
62.277,0
62.315,0
62.556,0
62.951,0
64.905,0
65.047,0
65.048,0
65.468,0
65.534,0
65.563,0
66.284,0
66.337,0
66.843,0
67.212,0
67.391,0
67.765,0
67.873,0
68.748,0
69.111,0
70.670,1
70.900,0
71.385,0
72.282,0
72.804,1
73.080,0
73.207,1
74.294,0
74.368,1
75.456,1
76.256,0
76.353,0
76.878,1
77.829,0
77.986,1
78.251,0
79.014,0
80.045,0
80.122,1
80.317,1
81.190,1
81.318,0
81.683,0
82.034,1
82.978,1
82.999,0
83.073,0
83.470,0
83.524,0
84.133,0
84.236,1
84.869,0
85.479,0
85.668,1
85.756,0
86.150,0
86.487,0
86.951,0
87.207,0
87.312,1
88.375,0
89.167,0
89.250,0
89.593,1
89.741,1
90.088,0
90.093,0
90.326,0
90.352,0
90.872,1
91.038,0
91.502,0
91.781,0
91.868,0
92.283,0
93.135,1
94.008,0
95.735,1
95.999,0
96.098,0
96.759,1
96.859,0
96.960,0
97.558,0
98.105,1
98.339,0
98.815,0
99.043,0
99.538,0
99.708,0
